cardId,Name,parameter,cardSubtitle,cardFilter4Tri,cardFilter4Display,cardFilter4DisplayBackup,Image,Crédit image,New,Age,cardFilter0Tri,cardFilter1Tri,cardFilter2Tri,cardFilter3Tri,cardFilter5Display,cardSection5Text,Recherche Google,cardSection6Text,URL
30,Jörg Gasser,jorg-gasser,"Secrétariat d'Etat aux questions financières internationales, Berne",f-facilitateurs,Facilitateurs,Enabler,jorg_gasser.jpg,DR?,New,49 ans,,f-plus-40,f-alemanique,f-homme,Finance,«Les discussions avec la France sur l’accès au marché sont très constructives» | https://www.letemps.ch/economie/discussions-france-lacces-marche-tres-constructives,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Jörg+Gasser”,,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-jorg-gasser.html
31,Solange Ghernaouti,solange-ghernaouti,"Professeure de cybersécurité, Université de Lausanne",f-chercheurs,Chercheurs,Researchers,solange_ghernaouti.jpg,© Olivier Vogelsang,New,59 ans,,f-plus-40,f-romand,f-femme,Recherche,Solange Ghernaouti: «Comment croire que les excuses de Facebook soient sincères?» | https://www.letemps.ch/economie/solange-ghernaouti-croire-excuses-facebook-soient-sinceres,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Solange+Ghernaouti”,,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-solange-ghernaouti.html
32,Raphaël Gindrat,raphael-gindrat,Cofondateur et CEO de Bestmile,f-entrepreneurs,Entrepreneurs,Unicorn raisers,raphael_gindrat.jpg,"© François Wavre, Lundi 13",New,30 ans,,f-moins-40,f-romand,f-homme,Transport,"La start-up lausannoise BestMile veut dominer le secteur des navettes autonomes|https://www.letemps.ch/economie/startup-lausannoise-bestmile-veut-dominer-secteur-navettes-autonomes
",https://www.google.ch/search?q=site%3Awww.letemps.ch+“Raphaël+Gindrat”,https://www.linkedin.com/in/rgindrat/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-raphael-gindrat.html
33,Fabio Gramazio,fabio-gramazio,Architecte à l’EPF Zurich,f-créatifs,Créatifs,Creatives,fabio_gramazio.jpg,DR?,New,48 ans,,f-plus-40,f-alemanique,f-homme,Recherche,«Ces robots qui construisent des maisons» | https://www.letemps.ch/economie/robots-construisent-maisons,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Fabio+Gramazio”,https://ch.linkedin.com/in/fabiogramazio,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-fabio-gramazio.html
34,Manuel Grenacher,manuel-grenacher,"Fondateur de Mila et de Coresystems, Windisch (AG)",f-entrepreneurs,Entrepreneurs,Serial Entrepreneurs,manuel_grenacher.jpg,DR?,New,37 ans,,f-moins-40,f-alemanique,f-homme,Services informatiques,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Manuel+Grenacher”,https://www.linkedin.com/in/grenacher,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-manuel-grenacher.html
35,Markus Gross,markus-gross,"Professeur EPFL d’informatique, doyen du Computer Graphics Laboratory, directeur de Disney Research, Zurich",f-créatifs,Créatifs,Creatives,markus_gross.jpg,Keystone,,55 ans,,f-plus-40,f-alemanique,f-homme,Recherche,«Physique appliquée du dessin animé» | https://www.letemps.ch/sciences/physique-appliquee-dessin-anime,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Markus+Gross”,https://ch.linkedin.com/in/markus-gross-961684,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-markus-gross.html
36,Daniel Gutenberg,daniel-gutenberg,"Partner VI Partners, Zoug",f-facilitateurs,Facilitateurs,Investors,daniel_gutenberg.jpg,Tina Sturzenegger,,52 ans,,f-plus-40,f-alemanique,f-homme,Services informatiques,«Advanon promet des vacances illimitées pour attirer les talents» | https://www.letemps.ch/economie/advanon-promet-vacances-illimitees-attirer-talents,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Daniel+Gutenberg”,https://ch.linkedin.com/in/danielgutenberg,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-daniel-gutenberg.html
37,Stefan Heitmann,stefan-heitmann,"CEO et fondateur de MoneyPark, Pfäffikon (SZ)",f-entrepreneurs,Entrepreneurs,Serial Entrepreneurs,stefan_heitmann.jpg,© PHOTO-VERTIGE,New,41 ans,,f-plus-40,f-alemanique,f-homme,Finance,«La chasse aux meilleurs prix comme modèle d’affaires» | https://www.letemps.ch/economie/chasse-aux-meilleurs-prix-modele-daffaires,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Stefan+Heitmann”,https://ch.linkedin.com/in/dr-stefan-a-heitmann-73883955,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-stefan-heitmann.html
38,Oliver Herren,oliver-herren,"CIO Digitec, fondateur de True Wealth, Zurich",f-entrepreneurs,Entrepreneurs,Serial Entrepreneurs,oliver_herren.jpg,© Tina Sturzenegger,New,39 ans,,f-moins-40,f-alemanique,f-homme,Services informatiques,«Digitec et Galaxus sont sans cesse exposés aux attaques de pirates» | https://www.letemps.ch/economie/digitec-galaxus-cesse-exposes-aux-attaques-pirates,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Oliver+Herren”,https://ch.linkedin.com/in/oliver-herren-60a6704a,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-oliver-herren.html
39,Christian Hirsig,christian-hirsig,"Fondateur de Powercoders, Berne",f-bienfaiteurs,Bienfaiteurs,Do-Gooders,christian_hirsig.jpg,DR?,,38 ans,,f-moins-40,f-alemanique,f-homme,Services informatiques,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Christian+Hirsig”,https://ch.linkedin.com/in/christianhirsig,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-christian-hirsig.html
