,cardId,Name,cardSubtitle,cardFilter4Tri,cardFilter4Display,Image,Unnamed: 6,Crédit image,New,Age,cardFilter1Tri,cardFilter2Tri,cardFilter3Tri,cardFilter5Display,cardSection5Text,cardSection6Text,URL,Image_URL,File exists
27,27,Thomas Frey,"Fondateur de Giants Software, Zurich",f-creatives,Creatives,img/2018/Thomas_Frey_Portrait.jpg,,© Jan Graber,,37 ans,f-moins-40,f-alemanique,f-homme,Services informatiques,(liens Le Temps),https://www.linkedin.com/in/thomas-frey-73138b13/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=thomas-frey,Thomas_Frey_Portrait.jpg,yes
28,28,Alexander Fries,"General Partner Alpana Ventures, San Matteo, Etats-Unis",f-expats,Expats,img/2018/Alexandre_Fries_Portrait.jpg,,DR?,,51 ans,f-plus-40,expat,f-homme,Négoce,(liens Le Temps),https://www.linkedin.com/in/alexanderfries/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=alexander-fries,Alexandre_Fries_Portrait.jpg,yes
29,29,Luca Maria Gambardella,"Directeur de l’Institut Dalle Maolle d’études sur l’intelligence artificielle, Lugano",f-researchers,Researchers,img/2018/Luca_Maria_Gambardella_Portrait.jpg,,DR?,New,56 ans,f-plus-40,f-italienne,f-homme,Recherche,(liens Le Temps),(profil linkedin),https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=luca-maria-gambardella,Luca_Maria_Gambardella_Portrait.jpg,yes
30,30,Jörg Gasser,"Secrétariat d'Etat aux questions financières internationales, Berne",f-enabler,Enabler,img/2018/Jorg_Gasser_Portrait.jpg,,DR?,New,49 ans,f-plus-40,f-alemanique,f-homme,Finance,(liens Le Temps),(profil linkedin),https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=jorg-gasser-,Jorg_Gasser_Portrait.jpg,yes
31,31,Solange Ghernaouti,"Professeure de cybersécurité, Université de Lausanne",f-researchers,Researchers,img/2018/Solange_Ghernaouti_Portrait.jpg,,© Olivier Vogelsang,New,59 ans,f-plus-40,f-romand,f-femme,Recherche,(liens Le Temps),(profil linkedin),https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=solange-ghernaouti,Solange_Ghernaouti_Portrait.jpg,yes
32,33,Raphaël Gindrat,Cofondateur et CEO de Bestmile,f-unicorn-raisers,Unicorn raisers,img/2018/Raphael_Gindrat_Portrait.jpg,,"© François Wavre, Lundi 13",New,30 ans,f-moins-40,f-romand,f-homme,Transport,"La start-up lausannoise BestMile veut dominer le secteur des navettes autonomes|https://www.letemps.ch/economie/startup-lausannoise-bestmile-veut-dominer-secteur-navettes-autonomes
",https://www.linkedin.com/in/rgindrat/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=raphael-gindrat,Raphaël_Gindrat_Portrait.jpg,yes
33,34,Fabio Gramazio,"Architecte à l’EPFZ, Zurich",f-creatives,Creatives,img/2018/Fabio_Gramazio_Portrait.jpg,,DR?,New,48 ans,f-plus-40,f-alemanique,f-homme,Recherche,(liens Le Temps),https://ch.linkedin.com/in/fabiogramazio,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=fabio-gramazio,Fabio_Gramazio_Portrait.jpg,yes
34,35,Manuel Grenacher,"Fondateur de Mila et de Coresystems, Windisch (AG)",f-serial-entrepreneurs,Serial Entrepreneurs,img/2018/Manuel_Grenacher_Portrait.jpg,,DR?,New,37 ans,f-moins-40,f-alemanique,f-homme,Services informatiques,(liens Le Temps),https://www.linkedin.com/in/grenacher,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=manuel-grenacher,Manuel_Grenacher_Portrait.jpg,yes
35,36,Markus Gross,"Professeur EPFL d’informatique, doyen du Computer Graphics Laboratory, directeur de Disney Research, Zurich",f-creatives,Creatives,img/2018/missing.jpg,http://mdb.ringier.ch/dcx_rng/documents#/doc/doc6vzzb4o1q8wy99pj2ma,DR?,,55 ans,f-plus-40,f-alemanique,f-homme,Recherche,(liens Le Temps),https://ch.linkedin.com/in/markus-gross-961684,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=markus-gross,missing.jpg,no
36,37,Daniel Gutenberg,"Partner VI Partners, Zoug",f-investors,Investors,img/2018/missing.jpg,http://mdb.ringier.ch/dcx_rng/documents#/doc/doc6vzzfrphnj91dr1qp1ow,DR?,,52 ans,f-plus-40,f-alemanique,f-homme,Services informatiques,(liens Le Temps),https://ch.linkedin.com/in/danielgutenberg,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=daniel-gutenberg,missing.jpg,no
37,38,Stefan Heitmann,"CEO et fondateur de MoneyPark, Pfäffikon (SZ)",f-serial-entrepreneurs,Serial Entrepreneurs,img/2018/Stefan_Heitmann_Portrait.jpg,,© PHOTO-VERTIGE,New,41 ans,f-plus-40,f-alemanique,f-homme,Finance,(liens Le Temps),https://ch.linkedin.com/in/dr-stefan-a-heitmann-73883955,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=stefan-heitmann,Stefan_Heitmann_Portrait.jpg,yes
