,cardId,Name,cardSubtitle,cardFilter4Tri,cardFilter4Display,Image,Unnamed: 6,Crédit image,New,Age,cardFilter0Tri,cardFilter1Tri,cardFilter2Tri,cardFilter3Tri,cardFilter5Display,cardSection5Text,Recherche Google,cardSection6Text,URL,Image_URL,File exists
16,16,Leila Delarive,"Cofondatrice et CEO d’Amplify, Lausanne",f-do-gooders,Do-Gooders,img/2018/leila_delarive.jpg,,© Jean-Christophe Bott |Keystone ,New,41 ans,,f-plus-40,f-romand,f-femme,Services informatiques,"«Leila Delarive et Fred Valet, les architectes de Be Curious» | https://www.letemps.ch/suisse/leila-delarive-fred-valet-architectes-be-curious",https://www.google.ch/search?q=site%3Awww.letemps.ch+“Leila+Delarive”,https://www.linkedin.com/in/leiladelarive/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=leila-delarive,leila_delarive.jpg,yes
17,17,Giovanna Di Marzo Serugendo,"Directrice du Centre universitaire d’informatique, Université de Genève",f-researchers,Researchers,img/2018/giovanna_di_marzo.jpg,,Elie Zagury,New,52 ans,,f-plus-40,f-romand,f-femme,Recherche,Comment les start-up se basent sur les géodonnées | https://www.letemps.ch/economie/startup-se-basent-geodonnees,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Giovanna+Di+Marzo+Serugendo”,https://www.linkedin.com/in/giovanna-di-marzo-serugendo-541382/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=giovanna-di-marzo-serugendo,giovanna_di_marzo.jpg,yes
18,18,Daniel Diemers,"PwC Strategy&, Blockchain Leader EMEA, Zurich",f-corporates,Corporates,img/2018/daniel_diemers.jpg,,DR?,New,45 ans,,f-plus-40,f-alemanique,f-homme,Finance,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Daniel+Diemers”,https://www.linkedin.com/in/ddiemers/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=daniel-diemers,daniel_diemers.jpg,yes
19,19,Sabrina Cohen Dumani,"Fondatrice et directrice générale de la Fondation Nomads, Genève",f-do-gooders,Do-Gooders,img/2018/sabrina_cohen_dumani.jpg,,DR?,New,50 ans,,f-plus-40,f-romand,f-femme,Développement durable,«L’innovation a sa plateforme dédiée» | https://www.letemps.ch/economie/linnovation-plateforme-dediee,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Sabrina+Cohen+Dumani”,https://www.linkedin.com/in/sabrinacohendumani/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=sabrina-cohen-dumani,sabrina_cohen_dumani.jpg,yes
20,20,Thomas Dübendorfer,"Fondateur, président et investisseur providentiel de Swiss ICT Investor Club (SICTIC), Zurich",f-enabler,Enabler,img/2018/thomas_dubendorfer.jpg,,© Samuel Truempy,New,43 ans,,f-plus-40,f-alemanique,f-homme,Finance,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Thomas+Dübendorfer”,https://www.linkedin.com/in/duebendorfer/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=thomas-dubendorfer,thomas_dubendorfer.jpg,yes
21,21,Raffaello D’Andrea,"Institut pour les systèmes dynamiques et les technologies de contrôle, EPFZ",f-researchers,Researchers,img/2018/raffaello_dandrea.jpg,,© Bret Hartman ,New,51 ans,,f-plus-40,f-alemanique,f-homme,Recherche,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Raffaello+D’Andrea”,,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=raffaello-d’andrea,raffaello_dandrea.jpg,yes
22,22,Petra Ehmann,"Directrice développement de partenariats commerciaux RA Google, Zurich",f-corporates,Corporates,img/2018/petra_ehmann.jpg,,DR?,New,33 ans,,f-moins-40,f-alemanique,f-femme,Négoce,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Petra+Ehmann”,https://www.linkedin.com/in/petraehmann/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=petra-ehmann,petra_ehmann.jpg,yes
23,23,Judith Ellens,"Cofondatrice et responsable scientifique chez Eaternity, Zurich",f-do-gooders,Do-Gooders,img/2018/judith_ellens.jpg,,DR?,New,36 ans,,f-moins-40,f-alemanique,f-femme,Recherche,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Judith+Ellens”,https://www.linkedin.com/in/judith-ellens-35445465/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=judith-ellens,judith_ellens.jpg,yes
24,24,Francisco Fernandez,"Fondateur et président du CA Avaloq, Zurich",f-unicorn-raisers,Unicorn raisers,img/2018/francisco_fernandez.jpg,,DR?,,56 ans,,f-plus-40,f-alemanique,f-homme,Services informatiques,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Francisco+Fernandez”,https://www.linkedin.com/in/francisco-fernandez-977533/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=francisco-fernandez,francisco_fernandez.jpg,yes
25,25,Björn Flückiger,"Responsable du desk fintech à la Finma, Berne",f-enabler,Enabler,img/2018/bjorn_fluckiger.jpg,,DR?,New,29 ans,,f-moins-40,f-alemanique,f-homme,Finance,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Björn+Flückiger”,https://www.linkedin.com/in/björn-flückiger-208881161/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=bjorn-fluckiger,bjorn_fluckiger.jpg,yes
